q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,labels,quiz_num,business_and_communication_proba,social_sciences_proba,public_service_law_and_policy_proba,math_sciences_and_engineering_proba
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,"Math, Sciences, and Engineering",33,0.14285714285714285,0.32142857142857145,0.17857142857142858,0.32142857142857145
0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,Social Sciences,34,0.12903225806451613,0.2903225806451613,0.1935483870967742,0.25806451612903225
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,Social Sciences,35,0.3,0.2,0.1,0.4
1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,Creative Arts,36,0.18604651162790697,0.023255813953488372,0.16279069767441862,0.6046511627906976
0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,"Math, Sciences, and Engineering",37,0.1702127659574468,0.2978723404255319,0.2765957446808511,0.23404255319148937
1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,"Math, Sciences, and Engineering",38,0.37037037037037035,0.037037037037037035,0.4074074074074074,0.14814814814814814
1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,Creative Arts,39,0.2830188679245283,0.07547169811320754,0.18867924528301888,0.3584905660377358
1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,"Public Service, Law, and Policy",40,0.21153846153846154,0.19230769230769232,0.23076923076923078,0.36538461538461536
0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,Social Sciences,41,0.10256410256410256,0.358974358974359,0.1794871794871795,0.23076923076923078
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,"Math, Sciences, and Engineering",42,0.21428571428571427,,0.21428571428571427,0.5714285714285714
0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,"Math, Sciences, and Engineering",43,0.1282051282051282,0.2564102564102564,0.2564102564102564,0.2564102564102564
0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,Social Sciences,44,0.3225806451612903,0.12903225806451613,0.12903225806451613,0.2903225806451613
0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,"Math, Sciences, and Engineering",45,0.1702127659574468,0.19148936170212766,0.23404255319148937,0.40425531914893614
0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,"Math, Sciences, and Engineering",46,0.21951219512195122,0.12195121951219512,0.24390243902439024,0.4146341463414634
1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,Business and Communication,47,0.42857142857142855,0.14285714285714285,0.10714285714285714,0.14285714285714285
1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,Social Sciences,48,0.2909090909090909,0.23636363636363636,0.14545454545454545,0.32727272727272727
1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,Social Sciences,49,0.25,0.2708333333333333,0.125,0.3541666666666667
0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,"Math, Sciences, and Engineering",50,0.17857142857142858,0.25,0.23214285714285715,0.32142857142857145
0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,"Public Service, Law, and Policy",51,0.21428571428571427,0.03571428571428571,0.35714285714285715,0.39285714285714285
0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,"Math, Sciences, and Engineering",52,0.05263157894736842,0.23684210526315788,0.18421052631578946,0.5
0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,"Public Service, Law, and Policy",53,0.14705882352941177,,0.3235294117647059,0.5294117647058824
0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,Creative Arts,54,0.16216216216216217,0.2702702702702703,0.21621621621621623,0.24324324324324326
0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,"Public Service, Law, and Policy",55,0.21951219512195122,0.3170731707317073,0.0975609756097561,0.24390243902439024
1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,Social Sciences,56,0.2702702702702703,0.24324324324324326,0.13513513513513514,0.32432432432432434
1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,"Public Service, Law, and Policy",57,0.34285714285714286,,0.08571428571428572,0.5428571428571428
1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,Business and Communication,58,0.35714285714285715,0.23809523809523808,0.21428571428571427,0.07142857142857142
1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,Social Sciences,59,0.35555555555555557,0.3111111111111111,0.26666666666666666,0.06666666666666667
1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,Business and Communication,60,0.3225806451612903,0.16129032258064516,0.22580645161290322,0.2903225806451613
0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,"Public Service, Law, and Policy",61,0.23333333333333334,0.16666666666666666,0.26666666666666666,0.3333333333333333
0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,"Math, Sciences, and Engineering",62,0.11764705882352941,,0.20588235294117646,0.5294117647058824
0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,Creative Arts,63,0.16666666666666666,0.041666666666666664,0.2916666666666667,0.4583333333333333
0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,"Math, Sciences, and Engineering",64,0.21052631578947367,0.10526315789473684,0.18421052631578946,0.5
0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,Creative Arts,65,0.175,0.225,0.075,0.425
0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,Social Sciences,66,0.175,0.325,0.25,0.25
1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,"Public Service, Law, and Policy",67,0.3076923076923077,0.25,0.15384615384615385,0.19230769230769232
1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,"Math, Sciences, and Engineering",68,0.2826086956521739,0.08695652173913043,0.17391304347826086,0.43478260869565216
0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Math, Sciences, and Engineering",69,0.19047619047619047,0.30952380952380953,0.19047619047619047,0.2857142857142857
0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,Creative Arts,70,0.18518518518518517,0.37037037037037035,0.18518518518518517,0.1111111111111111
0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,"Public Service, Law, and Policy",71,0.08196721311475409,0.22950819672131148,0.19672131147540983,0.4262295081967213
1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,"Public Service, Law, and Policy",72,0.36363636363636365,,0.24242424242424243,0.36363636363636365
1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,Business and Communication,73,0.2765957446808511,0.2765957446808511,0.10638297872340426,0.2553191489361702
0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,"Math, Sciences, and Engineering",74,0.26666666666666666,,0.3,0.4
0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,"Public Service, Law, and Policy",75,0.2,0.03333333333333333,0.3333333333333333,0.4
1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,Social Sciences,76,0.3,0.28,0.18,0.24
0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,"Public Service, Law, and Policy",77,0.08333333333333333,0.1875,0.22916666666666666,0.3958333333333333
1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,Social Sciences,78,0.25,0.20454545454545456,0.1590909090909091,0.38636363636363635
1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,"Math, Sciences, and Engineering",79,0.29411764705882354,0.2549019607843137,0.13725490196078433,0.23529411764705882
0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,"Public Service, Law, and Policy",80,0.16666666666666666,0.30952380952380953,0.14285714285714285,0.2619047619047619
0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,"Math, Sciences, and Engineering",81,0.21428571428571427,0.11904761904761904,0.23809523809523808,0.40476190476190477
0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,Social Sciences,82,0.0967741935483871,0.3225806451612903,0.22580645161290322,0.3548387096774194
1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,Business and Communication,83,0.3333333333333333,0.10416666666666667,0.22916666666666666,0.25
0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,"Math, Sciences, and Engineering",84,0.1956521739130435,0.08695652173913043,0.1956521739130435,0.5217391304347826
1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,Business and Communication,85,0.39473684210526316,0.02631578947368421,0.21052631578947367,0.2631578947368421
1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,"Math, Sciences, and Engineering",86,0.35294117647058826,,0.23529411764705882,0.29411764705882354
1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,Business and Communication,87,0.3333333333333333,0.10416666666666667,0.22916666666666666,0.25
0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,Social Sciences,88,0.16666666666666666,0.375,0.16666666666666666,0.08333333333333333
1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,Social Sciences,89,0.29545454545454547,0.29545454545454547,0.1590909090909091,0.25
1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,"Public Service, Law, and Policy",90,0.2549019607843137,0.19607843137254902,0.17647058823529413,0.37254901960784315
1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,Creative Arts,91,0.2903225806451613,0.03225806451612903,0.1935483870967742,0.3548387096774194
0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,"Math, Sciences, and Engineering",92,0.043478260869565216,,0.17391304347826086,0.782608695652174
0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,Social Sciences,93,0.15384615384615385,0.23076923076923078,0.1794871794871795,0.4358974358974359
1,0,0,1,1,1,1,0,1,1,0,0,1,0,1,"Math, Sciences, and Engineering",94,0.2807017543859649,0.24561403508771928,0.15789473684210525,0.3157894736842105
0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,"Math, Sciences, and Engineering",95,0.09375,0.03125,0.375,0.34375
1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,Business and Communication,96,0.34285714285714286,0.11428571428571428,0.11428571428571428,0.2857142857142857
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,Social Sciences,97,0.058823529411764705,0.29411764705882354,0.17647058823529413,0.3235294117647059
1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,"Math, Sciences, and Engineering",98,0.1935483870967742,0.20967741935483872,0.1935483870967742,0.3225806451612903
0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,"Math, Sciences, and Engineering",99,0.10344827586206896,0.034482758620689655,0.4482758620689655,0.3793103448275862
1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,"Math, Sciences, and Engineering",100,0.2708333333333333,0.10416666666666667,0.2708333333333333,0.3541666666666667
0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,"Public Service, Law, and Policy",101,0.26666666666666666,0.13333333333333333,0.3,0.13333333333333333
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Business and Communication,102,0.45454545454545453,0.4090909090909091,0.09090909090909091,0.045454545454545456
1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,"Math, Sciences, and Engineering",103,0.22448979591836735,0.1836734693877551,0.10204081632653061,0.3877551020408163
0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,Social Sciences,104,0.27586206896551724,0.13793103448275862,0.06896551724137931,0.3448275862068966
0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,Business and Communication,105,0.14893617021276595,0.2127659574468085,0.23404255319148937,0.3829787234042553
1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,Business and Communication,106,0.3170731707317073,0.3170731707317073,0.07317073170731707,0.2682926829268293
0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,"Math, Sciences, and Engineering",107,0.125,0.041666666666666664,0.4166666666666667,0.4166666666666667
1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,"Public Service, Law, and Policy",108,0.25,0.23214285714285715,0.14285714285714285,0.35714285714285715
1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,Business and Communication,109,0.23404255319148937,0.2127659574468085,0.14893617021276595,0.3829787234042553
1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,"Public Service, Law, and Policy",110,0.2972972972972973,0.02702702702702703,0.24324324324324326,0.32432432432432434
0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,"Math, Sciences, and Engineering",111,0.16666666666666666,0.30952380952380953,0.19047619047619047,0.21428571428571427
0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,"Public Service, Law, and Policy",112,0.175,0.35,0.175,0.275
0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,Social Sciences,113,0.17307692307692307,0.2692307692307692,0.15384615384615385,0.38461538461538464
1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,Social Sciences,114,0.22580645161290322,0.14516129032258066,0.12903225806451613,0.41935483870967744
0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,"Public Service, Law, and Policy",115,0.10416666666666667,0.2916666666666667,0.2708333333333333,0.3333333333333333
0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,"Math, Sciences, and Engineering",116,0.28125,0.125,0.25,0.3125
1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,Business and Communication,117,0.25,0.09615384615384616,0.21153846153846154,0.36538461538461536
1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,Business and Communication,118,0.34285714285714286,0.11428571428571428,0.11428571428571428,0.2857142857142857
0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,"Public Service, Law, and Policy",119,0.1,0.3333333333333333,0.23333333333333334,0.3
0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,Business and Communication,120,0.07142857142857142,0.32142857142857145,0.17857142857142858,0.39285714285714285
1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,Business and Communication,121,0.2702702702702703,,0.13513513513513514,0.4864864864864865
1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,Social Sciences,122,0.2903225806451613,0.03225806451612903,0.1935483870967742,0.3225806451612903
1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,"Math, Sciences, and Engineering",123,0.24561403508771928,0.07017543859649122,0.15789473684210525,0.45614035087719296
0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,"Math, Sciences, and Engineering",124,0.17647058823529413,0.029411764705882353,0.29411764705882354,0.35294117647058826
0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,"Math, Sciences, and Engineering",125,0.1282051282051282,0.2564102564102564,0.3076923076923077,0.28205128205128205
1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,"Math, Sciences, and Engineering",126,0.2545454545454545,0.09090909090909091,0.23636363636363636,0.34545454545454546
1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,Business and Communication,127,0.3333333333333333,0.030303030303030304,0.21212121212121213,0.30303030303030304
0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,"Math, Sciences, and Engineering",128,0.22857142857142856,0.14285714285714285,0.17142857142857143,0.45714285714285713
1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,Social Sciences,129,0.3,0.26,0.08,0.26
1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,"Math, Sciences, and Engineering",130,0.3,0.2,0.22,0.26
0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,Creative Arts,131,0.19047619047619047,0.09523809523809523,0.11904761904761904,0.47619047619047616
0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,"Math, Sciences, and Engineering",132,0.23333333333333334,,0.06666666666666667,0.5666666666666667
0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,Business and Communication,133,0.18461538461538463,0.2,0.13846153846153847,0.4
1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,Social Sciences,134,0.38,0.26,0.12,0.22
1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,"Public Service, Law, and Policy",135,0.2777777777777778,0.1388888888888889,0.2777777777777778,0.3055555555555556
1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,Social Sciences,136,0.32608695652173914,0.2826086956521739,0.08695652173913043,0.2826086956521739
1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,Business and Communication,137,0.24561403508771928,0.22807017543859648,0.08771929824561403,0.43859649122807015
0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,Social Sciences,138,0.19444444444444445,0.25,0.1388888888888889,0.3055555555555556
1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,"Public Service, Law, and Policy",139,0.3409090909090909,0.29545454545454547,0.09090909090909091,0.25
1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,"Math, Sciences, and Engineering",140,0.3684210526315789,,0.21052631578947367,0.2894736842105263
0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,Social Sciences,141,0.15384615384615385,0.358974358974359,0.20512820512820512,0.2564102564102564
0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,Business and Communication,142,0.0625,0.03125,0.34375,0.5625
0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,"Public Service, Law, and Policy",143,0.18181818181818182,,0.24242424242424243,0.5757575757575758
1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"Public Service, Law, and Policy",144,0.26666666666666666,0.1111111111111111,0.2,0.4222222222222222
0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,Social Sciences,145,0.13333333333333333,0.3333333333333333,0.3,0.1
0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,Business and Communication,146,0.18181818181818182,0.2545454545454545,0.2,0.2909090909090909
0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,Social Sciences,147,0.1590909090909091,0.22727272727272727,0.20454545454545456,0.38636363636363635
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,Creative Arts,148,0.2765957446808511,0.10638297872340426,0.1276595744680851,0.3829787234042553
0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,Social Sciences,149,0.1388888888888889,0.25,0.08333333333333333,0.5
1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,Social Sciences,150,0.26785714285714285,0.25,0.17857142857142858,0.30357142857142855
0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,Business and Communication,151,0.21621621621621623,0.10810810810810811,0.13513513513513514,0.43243243243243246
1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,Creative Arts,152,0.35294117647058826,0.029411764705882353,0.3235294117647059,0.14705882352941177
1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,Social Sciences,153,0.21428571428571427,0.18571428571428572,0.15714285714285714,0.37142857142857144
0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,"Math, Sciences, and Engineering",154,0.14285714285714285,0.20408163265306123,0.22448979591836735,0.40816326530612246
0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,"Math, Sciences, and Engineering",155,0.125,0.1875,0.125,0.5416666666666666
1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,Business and Communication,156,0.3111111111111111,,0.15555555555555556,0.4222222222222222
1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,"Math, Sciences, and Engineering",157,0.26666666666666666,0.23333333333333334,0.23333333333333334,0.2
0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,"Math, Sciences, and Engineering",158,0.14285714285714285,0.21428571428571427,0.09523809523809523,0.42857142857142855
0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,Business and Communication,159,0.0975609756097561,0.024390243902439025,0.2682926829268293,0.4878048780487805
0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,"Public Service, Law, and Policy",160,0.18,0.08,0.22,0.52
1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,Social Sciences,161,0.27586206896551724,0.2413793103448276,0.1206896551724138,0.29310344827586204
0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,Business and Communication,162,0.2,0.05,0.35,0.15
0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,"Math, Sciences, and Engineering",163,0.1509433962264151,0.09433962264150944,0.18867924528301888,0.49056603773584906
0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,"Math, Sciences, and Engineering",164,0.10714285714285714,0.14285714285714285,0.17857142857142858,0.39285714285714285
0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,"Public Service, Law, and Policy",165,,0.08333333333333333,0.5833333333333334,0.25
1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,Social Sciences,166,0.3050847457627119,0.23728813559322035,0.15254237288135594,0.22033898305084745
1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,Business and Communication,167,0.29545454545454547,0.29545454545454547,0.11363636363636363,0.20454545454545456
1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,"Public Service, Law, and Policy",168,0.25925925925925924,0.25925925925925924,0.2037037037037037,0.18518518518518517
0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,"Public Service, Law, and Policy",169,0.1282051282051282,0.02564102564102564,0.2564102564102564,0.48717948717948717
1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,"Public Service, Law, and Policy",170,0.24444444444444444,,0.2222222222222222,0.4444444444444444
1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,"Public Service, Law, and Policy",171,0.32558139534883723,0.32558139534883723,0.23255813953488372,0.023255813953488372
1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,Business and Communication,172,0.34210526315789475,0.3684210526315789,0.21052631578947367,0.07894736842105263
1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,Creative Arts,173,0.45161290322580644,0.12903225806451613,0.0967741935483871,0.16129032258064516
1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,"Math, Sciences, and Engineering",174,0.20689655172413793,0.017241379310344827,0.1896551724137931,0.5
1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,"Math, Sciences, and Engineering",175,0.3333333333333333,0.1111111111111111,0.13333333333333333,0.4
1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,Social Sciences,176,0.26,0.08,0.24,0.4
1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,"Math, Sciences, and Engineering",177,0.28846153846153844,0.25,0.11538461538461539,0.34615384615384615
0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,"Math, Sciences, and Engineering",178,0.17142857142857143,0.2571428571428571,0.2571428571428571,0.3142857142857143
1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,Business and Communication,179,0.26229508196721313,0.21311475409836064,0.13114754098360656,0.3114754098360656
1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,"Math, Sciences, and Engineering",180,0.30303030303030304,0.2727272727272727,0.030303030303030304,0.2727272727272727
0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,"Math, Sciences, and Engineering",181,0.15,0.25,0.2,0.275
1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,Social Sciences,182,0.22916666666666666,0.2708333333333333,0.14583333333333334,0.25
1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,Creative Arts,183,0.2222222222222222,0.08888888888888889,0.13333333333333333,0.4444444444444444
1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,Business and Communication,184,0.30357142857142855,0.07142857142857142,0.125,0.5
